sample_id,router_name,budget,domain,ocr_text,vlm_raw_output,final_text,gt,backfill_status,backfill_reason,edit_distance_ocr,edit_distance_final,delta_edit_distance,vlm_model
GeoP0199_L074,GCR,0.1,geology,(4个)顺层~,(24)顺层~,(24)顺层~,(4个)顺层~,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L091,GCR,0.1,geology,限制(被限制的映),限制 (被限制的映),限制 (被限制的映),限制(被限制的晚),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0199_L095,GCR,0.1,geology,覆构造),覆褶皱),覆褶皱),覆构造),accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L098,GCR,0.1,geology,追踪利用、改造(被的早),追踪利用、改造(补写的),追踪利用、改造(补写的),{追踪，利用，改造（被..的早）,accepted,accepted,5,7,2,gemini:gemini-3-flash-preview
GeoP0200_L024,GCR,0.1,geology,形态及其与,形态、及其与,形态、及其与,形态及其与,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0212_L012,GCR,0.1,geology,(3)结论,3)结论,3)结论,(3)结论,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0217_L034,GCR,0.1,geology,利余AbO3,利余Al2O3,利余Al2O3,利余AbO₃,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0218_L003,GCR,0.1,geology,钾K石>,钾K长>,钾K长>,钾长石>,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0218_L012,GCR,0.1,geology,泥于水,泥浆水,泥浆水,溶于水，,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0219_L009,GCR,0.1,geology,中性市,中生界,中生界,中性岩,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0221_L014,GCR,0.1,geology,同生矿床：矿体与围岩在同一地质作用。,同生矿床：矿体与围岩在同一地质作用中。,同生矿床：矿体与围岩在同一地质作用中。,(同生矿床：矿体与围岩在同一地质作用.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0241_L038,GCR,0.1,geology,二.八面体择位能对过渡金属元素控制.,二.八面体择位能对过渡金属元素的控制.,二.八面体择位能对过渡金属元素的控制.,二.八面体择位能对过渡金属元素控制.,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0243_L008,GCR,0.1,geology,之间的角义，,之间的夹角，,之间的夹角，,之间的角α，,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
FinP0195_L001,GCR,0.1,finance,②货币互换,②深井互换,②深井互换,②货币互换,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
FinP0204_L057,GCR,0.1,finance,信券空向,倾向走向,倾向走向,债券票面,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
MedP0201_L025,GCR,0.1,medicine,无肾买质改变,无明显改变,无明显改变,无肾实质政变,accepted,accepted,2,4,2,gemini:gemini-3-flash-preview
MedP0204_L019,GCR,0.1,medicine,腔骨长轴线,胚界长轴线,胚界长轴线,胫骨长轴线,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0222_L039,GCR,0.1,medicine,美胆素(颜色,基组素(颜色),基组素(颜色),粪胆素(颜色,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
MedP0225_L031,GCR,0.1,medicine,则使NADPH氧化生成了水，即一分子氧发了两种功能，故又称混合功能氧,则使NADPH氧化生成了水，即一分子氧发挥了两种功能，故又称混合功能氧化酶,则使NADPH氧化生成了水，即一分子氧发挥了两种功能，故又称混合功能氧化酶,则使NADPH氧化生成了水，即一分子氧发挥了两种功能，故又称混合功能氧,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0234_L029,GCR,0.1,medicine,狼疮抗凝物。(相毒）,狼疮抗凝物。(筛查),狼疮抗凝物。(筛查),狼疮抗凝物.(梅毒),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
