sample_id,router_name,budget,domain,ocr_text,final_text,gt,backfill_status,backfill_reason,edit_distance_final
,GCR,0.1,geology,泉水的带状分布.水系特点),泉水的带状分布、水系特点）,泉水的带状分布、水系特点),accepted,accepted,1
,GCR,0.1,geology,③排导：导流槽（下）,③排导：导流槽（下游）,③排导：导流槽(下游),accepted,accepted,2
,GCR,0.1,geology,海水流向，陡→缓，即顶一底，其所成的连线面的倾向即为海水流向,海水流向，陡→缓，即顶一底，其所成的连线面的倾向即为海水流向,海水流向。陡→缓，即顶-底，其所成的连线面的倾向即为海水流向.,rejected,rejected_global_ed_exceeded,3
,GCR,0.1,geology,②交代方式矿床：a.矿体不规则与图岩呈渐变过渡关系b、矿体常有交代,②交代方式矿床：a.矿体不规则与图岩呈渐变过渡关系b、矿体常有交代,②交代方式矿床：a.矿体不规则，与围岩呈渐变过渡关系b.矿体常有交代,rejected,rejected_global_ed_exceeded,3
,GCR,0.1,geology,粗晶方解石脉,粗晶方解石脉,粗晶，方解石脉，,accepted,accepted,2
,GCR,0.1,geology,2、C越大，频率曲线越陡(频率曲线“顺时针旋转”),2、C越大，频率曲线越陡(频率曲线“顺时针旋转”),2.Cv越大，频率曲线越陡(频率曲线“顺时针旋转”),rejected,rejected_global_ed_exceeded,2
,GCR,0.1,geology,顶山采侧以密集的剪切节理形式出现。,顶山东侧以密集的剪切节理形式出现。,頂山东侧以密集的剪切节理形式出现。,accepted,accepted,1
,GCR,0.1,geology,(3)可变储存量：,(3)可变储存量：,(3)可变储存量;,not_upgraded,not_upgraded,1
,GCR,0.1,geology,后生矿府：矿体形成明显脱于固e热液矿脉,后生矿府：矿体形成明显脱于固e热液矿脉,（后生矿床：矿体形成明显晚于围岩eg.热液矿脉.,not_upgraded,not_upgraded,8
,GCR,0.1,geology,发育e.围岩浊变发育.,发育e.围岩浊变发育.,发育e.围岩蚀变发育.,not_upgraded,not_upgraded,1
,GCR,0.1,geology,(五)区域性侧构挤压应力场与区域构遗及局部构造,(五)区域性侧构挤压应力场与区域构遗及局部构造,（五） 区域性侧向挤压应力场与区域构造及局部构造,not_upgraded,not_upgraded,5
,GCR,0.1,geology,(范家在洪积扇),(范家在洪积扇),(范家庄洪积扇),not_upgraded,not_upgraded,1
,GCR,0.1,geology,Q容=MFH含水层厚度,Q容=MFH含水层厚度,Q容=μFH→含水层厚度,not_upgraded,not_upgraded,2
,GCR,0.1,geology,6水文地质条件：a岩石渗透性强b、适合的水文地质条件(通气带),6水文地质条件：a岩石渗透性强b、适合的水文地质条件(通气带),⑤、水文地质条件：a岩石渗透性强b.适合的水文地质条件(通气带),not_upgraded,not_upgraded,3
,GCR,0.1,geology,指示对盘相对滑动,指示对盘相对滑动,指示对盘心相对滑动,not_upgraded,not_upgraded,1
,GCR,0.1,geology,当阔被曲率当大时,当阔被曲率当大时,当褶皱曲率变大时，,not_upgraded,not_upgraded,4
,GCR,0.1,geology,组地层（T3h）构成，它们在火山老系的东却、东北部以及北,组地层（T3h）构成，它们在火山老系的东却、东北部以及北,组地层(T3h)构成，它们在火山岩系的东部、东北部以及北,not_upgraded,not_upgraded,4
,GCR,0.1,geology,特征：①产状：拆高断层是区城性的，原始产状近于水平，在伸展折离中变成犁式,特征：①产状：拆高断层是区城性的，原始产状近于水平，在伸展折离中变成犁式,特征：①产状：拆离断层是区域性的，原始产状近于水平，在伸展拆离中变成犁式,not_upgraded,not_upgraded,3
,GCR,0.1,geology,浅部 脆性 送层,浅部 脆性 送层,{浅部脆性断层,not_upgraded,not_upgraded,4
,GCR,0.1,geology,①岩体：可溶于水且透水,①岩体：可溶于水且透水,①岩体:可溶于水且透水,not_upgraded,not_upgraded,1
,GCR,0.1,geology,高山的盖层构造主要由古生代，中生代和新生代的沉积岩构成。这些岩层岗山地区形成较,高山的盖层构造主要由古生代，中生代和新生代的沉积岩构成。这些岩层岗山地区形成较,嵩山的盖层构造主要由古生代，中生代和新生代的沉积岩构成。这些岩层在嵩山地区形成了较,not_upgraded,not_upgraded,4
,GCR,0.1,geology,匠SN向的剪切断裂，它的位置即要沿江的襄安镇一大通镇,匠SN向的剪切断裂，它的位置即要沿江的襄安镇一大通镇,近SN向的剪切断裂，它的位置即是沿江的襄安镇—大通镇,not_upgraded,not_upgraded,3
,GCR,0.1,geology,钱七唐记,钱七唐记,钱塘江,not_upgraded,not_upgraded,3
,GCR,0.1,geology,积土、重力堆积土，地表灌水沉积土，静水沉积土、海沉积土、冰堆,积土、重力堆积土，地表灌水沉积土，静水沉积土、海沉积土、冰堆,积土、重力堆积土，地表灌水沉积土，静水沉积土，海洋沉积土，冰川堆,not_upgraded,not_upgraded,4
,GCR,0.1,geology,C.外与柏量平行，位错线与外力重直，位错线运动方向与外平行外加的方向),C.外与柏量平行，位错线与外力重直，位错线运动方向与外平行外加的方向),C.外力τ与柏氏矢量b平行，位错线l与外力τ垂直，位错线运动方向与外力τ平行(外力τ的方向),not_upgraded,not_upgraded,13
,GCR,0.1,geology,店镇，颖阳镇，卢店镇，告成镇，阳城区镇，大治镇、宜化镇，徐庄镇.东华,店镇，颖阳镇，卢店镇，告成镇，阳城区镇，大治镇、宜化镇，徐庄镇.东华,"店镇,颍阳镇,卢店镇,告成镇,阳城区镇,大冶镇,宣化镇,徐庄镇,东华",not_upgraded,not_upgraded,11
,GCR,0.1,geology,特有：石榴千石、滑石、绿泥石、蛇乡纹石,特有：石榴千石、滑石、绿泥石、蛇乡纹石,特有:石榴子石、滑石、绿泥石、蛇纹石,not_upgraded,not_upgraded,3
,GCR,0.1,geology,沉积物的荒面中格种大小,沉积物的荒面中格种大小,沉积物的剖面中各种大小,not_upgraded,not_upgraded,2
,GCR,0.1,geology,材料横向线应变和纵向线应变比值的色对值,材料横向线应变和纵向线应变比值的色对值,材料横向线应变和纵向线应变比值的绝对值,not_upgraded,not_upgraded,1
,GCR,0.1,geology,底辟构造：高韧性地质体受到下部地层的挤区，或由于岩石间密度差,底辟构造：高韧性地质体受到下部地层的挤区，或由于岩石间密度差,底辟构造:高韧性地质体受到下部地层的挤压，或由于岩石间密度差，,not_upgraded,not_upgraded,3
,GCR,0.1,geology,①.边缘：紧贴图岩，厚度薄；细粒结构；矿物以简单硅酸盐矿物为。,①.边缘：紧贴图岩，厚度薄；细粒结构；矿物以简单硅酸盐矿物为。,①.边缘：紧贴围岩，厚度薄；细粒结构；矿物以简单硅酸盐矿物为主。,not_upgraded,not_upgraded,2
,GCR,0.1,geology,沉和岩分为碎岩黏土岩和化学生物岩三大类,沉和岩分为碎岩黏土岩和化学生物岩三大类,"沉积岩分为碎屑岩,黏土岩,和化学岩及生物岩三大类",not_upgraded,not_upgraded,6
,GCR,0.1,geology,浅、结品快,浅、结品快,浅.结晶快,not_upgraded,not_upgraded,2
