sample_id,router_name,budget,domain,ocr_text,final_text,gt,backfill_status,backfill_reason,edit_distance_final
GeoP0199_L003,BAUR-only,0.1,geology,外侧易环裂,外侧显环裂,外侧易张裂,skipped,baur_only_no_backfill,2
GeoP0199_L005,BAUR-only,0.1,geology,易形成平行皱(IB型),易形成平行褶皱 (IB型),易形成平行褶皱(IB型),skipped,baur_only_no_backfill,1
GeoP0199_L006,BAUR-only,0.1,geology,浅部 脆性 送层,浅部 脆性 断层,{浅部脆性断层,skipped,baur_only_no_backfill,3
GeoP0199_L009,BAUR-only,0.1,geology,弯流作用,弯流作用,(弯流作用,skipped,baur_only_no_backfill,1
GeoP0199_L011,BAUR-only,0.1,geology,{深部 韧性剪切带,{深部 韧性剪切带,{深部韧性剪切带,skipped,baur_only_no_backfill,1
GeoP0199_L012,BAUR-only,0.1,geology,当阔被曲率当大时,当褶皱曲率变大时,当褶皱曲率变大时，,skipped,baur_only_no_backfill,1
GeoP0199_L018,BAUR-only,0.1,geology,亲部,顶部,核部,skipped,baur_only_no_backfill,1
GeoP0199_L019,BAUR-only,0.1,geology,上升盘,上升盘,{上升盘,skipped,baur_only_no_backfill,1
GeoP0199_L021,BAUR-only,0.1,geology,e.g 同沉积褶皱和底辟构造、容隆.,e.g 同沉积褶皱和底辟构造、穹隆.,e.g同沉积褶皱和底辟构造、穹隆.,skipped,baur_only_no_backfill,1
GeoP0199_L024,BAUR-only,0.1,geology,上盘,上盘,{上盘,skipped,baur_only_no_backfill,1
GeoP0199_L029,BAUR-only,0.1,geology,为顶薄褶皱(工型),为顶薄褶皱（IA型）,↳为顶薄褶皱（IA型）,skipped,baur_only_no_backfill,1
GeoP0199_L031,BAUR-only,0.1,geology,两测匀为拉伸状态,两侧均为拉伸状态,两侧匀为拉伸状态,skipped,baur_only_no_backfill,1
GeoP0199_L032,BAUR-only,0.1,geology,也会发生一些等：流作用[由顶部向部],也会发生一些剪流作用[由顶部向翼部],也会发生一些弯流作用[由顶部向翼部],skipped,baur_only_no_backfill,1
GeoP0199_L033,BAUR-only,0.1,geology,滑距(两盘错动的距离),滑距(两盘错动的距离),{滑距(两盘错动的距离),skipped,baur_only_no_backfill,1
GeoP0199_L036,BAUR-only,0.1,geology,旋转位移,旋转位移,{旋转位移,skipped,baur_only_no_backfill,1
GeoP0199_L038,BAUR-only,0.1,geology,典型的相似褶皱(Ⅱ型),典型的相似褶皱(Ⅱ型),典型的相似褶皱（Ⅱ型）,skipped,baur_only_no_backfill,2
GeoP0199_L039,BAUR-only,0.1,geology,→沿密集的平行劈理或片理面 发生差异滑动,→沿密集的平行劈理或片理面 发生差异滑动,->沿密集的平行劈理或片理面发生差异滑动,skipped,baur_only_no_backfill,3
GeoP0199_L041,BAUR-only,0.1,geology,分类,分类,分类{,skipped,baur_only_no_backfill,1
GeoP0199_L042,BAUR-only,0.1,geology,几何,几何,[几何,skipped,baur_only_no_backfill,1
GeoP0199_L043,BAUR-only,0.1,geology,断层面与褶皱轴面的关系纵，横、斜,断层面与褶皱轴面的关系 纵、横、斜,断层面与褶皱轴面的关系纵、横、斜,skipped,baur_only_no_backfill,1
GeoP0199_L046,BAUR-only,0.1,geology,正断层正盘下除],{ 正断层 [上盘下降] },{正断层}[上盘下降],skipped,baur_only_no_backfill,4
GeoP0199_L047,BAUR-only,0.1,geology,平移一正断层侧伏45°~.800,平移-正断层侧伏角45°~80°,{平移-正断层}倾伏角45°~80°,skipped,baur_only_no_backfill,3
GeoP0199_L049,BAUR-only,0.1,geology,运动,运动,(运动,skipped,baur_only_no_backfill,1
